Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2019,11,1,12.6,11.2,12.2,12.2,26.7,32.8,23.3,4.3,31
Pulau Ubin,2019,11,2,0.2,0.2,0.2,0.2,28.7,34.3,25.1,3.2,19.8
Pulau Ubin,2019,11,3,6.4,6.4,6.4,6.4,26.7,31.8,24.5,3.6,21.6
Pulau Ubin,2019,11,4,0,0,0,0,27.6,32.5,24.2,2.9,16.6
Pulau Ubin,2019,11,5,10.8,10.8,10.8,10.8,27,31.1,24.1,2.2,18
Pulau Ubin,2019,11,6,0,0,0,0,28.7,34.3,25.2,3.6,19.8
Pulau Ubin,2019,11,7,0,0,0,0,29.4,34.7,25.7,3.2,13.3
Pulau Ubin,2019,11,8,5.6,2.8,4.2,5.6,27.2,31.9,23.3,5,34.6
Pulau Ubin,2019,11,9,0,0,0,0,27.3,34.1,24.5,4,22.7
Pulau Ubin,2019,11,10,0,0,0,0,28.3,34.3,23.8,3.6,22.7
Pulau Ubin,2019,11,11,0,0,0,0,27.9,33.2,25.3,2.9,19.1
Pulau Ubin,2019,11,12,0,0,0,0,27.9,34.2,25.7,3.2,20.5
Pulau Ubin,2019,11,13,0,0,0,0,28.1,33.9,24.7,2.9,21.2
Pulau Ubin,2019,11,14,0,0,0,0,27.1,30.8,25.5,3.6,18
Pulau Ubin,2019,11,15,0,0,0,0,26.8,30.9,25.3,3.6,21.6
Pulau Ubin,2019,11,16,0,0,0,0,27.9,32.7,24.8,4,19.1
Pulau Ubin,2019,11,17,0,0,0,0,27.7,33.7,24.3,3.6,25.6
Pulau Ubin,2019,11,18,0.4,0.4,0.4,0.4,27.2,33.9,24.6,2.9,18
Pulau Ubin,2019,11,19,0,0,0,0,27,31.6,24.6,3.6,19.8
Pulau Ubin,2019,11,20,5,1.4,2,3,25.6,29.3,24.1,3.2,23
Pulau Ubin,2019,11,21,0.6,0.4,0.4,0.4,25.9,30,24.1,4,18
Pulau Ubin,2019,11,22,0.8,0.4,0.6,0.8,26,32.6,24.1,3.6,22
Pulau Ubin,2019,11,23,0,0,0,0,26.4,31.2,24,4.3,19.8
Pulau Ubin,2019,11,24,22,13.6,13.8,16.2,25.8,32.8,23.3,3.2,23.8
Pulau Ubin,2019,11,25,0,0,0,0,27.2,33.4,23.5,3.6,25.2
Pulau Ubin,2019,11,26,0,0,0,0,27.9,32.4,25.2,6.1,24.8
Pulau Ubin,2019,11,27,4,4,4,4,26.9,32,24.6,3.2,20.2
Pulau Ubin,2019,11,28,0.6,0.2,0.2,0.2,27.2,31.9,24.4,3.6,19.8
Pulau Ubin,2019,11,29,34.2,21,25,28,26.1,32.5,23.8,3.6,29.5
Pulau Ubin,2019,11,30,4.4,3.2,3.2,4.4,26.8,32.7,24,3.2,22
