Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,1,1,-,-,-,-,-,-,-,-,-
Pulau Ubin,2022,1,2,-,-,-,-,-,-,-,-,-
Pulau Ubin,2022,1,3,-,-,-,-,-,-,-,-,-
Pulau Ubin,2022,1,4,-,-,-,-,-,-,-,-,-
Pulau Ubin,2022,1,5,     4.0,     3.8,     3.8,     3.8,    27.1,    32.7,    24.5,     4.8,    18.3
Pulau Ubin,2022,1,6,     0.0,     0.0,     0.0,     0.0,    27.7,    32.6,    24.7,     6.5,    29.4
Pulau Ubin,2022,1,7,     0.0,     0.0,     0.0,     0.0,    27.4,    32.1,    24.0,     5.7,    23.7
Pulau Ubin,2022,1,8,     0.0,     0.0,     0.0,     0.0,    27.3,    30.8,    24.9,     6.5,    25.6
Pulau Ubin,2022,1,9,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    24.7,     7.2,    28.2
Pulau Ubin,2022,1,10,     0.0,     0.0,     0.0,     0.0,    27.2,    31.5,    24.9,     8.0,    29.1
Pulau Ubin,2022,1,11,     0.0,     0.0,     0.0,     0.0,    27.0,    31.1,    23.8,     6.8,    26.7
Pulau Ubin,2022,1,12,     0.0,     0.0,     0.0,     0.0,    27.1,    31.2,    24.6,     8.2,    27.8
Pulau Ubin,2022,1,13,     0.0,     0.0,     0.0,     0.0,    26.8,    31.5,    23.3,     7.8,    28.5
Pulau Ubin,2022,1,14,     0.0,     0.0,     0.0,     0.0,    26.8,    31.6,    23.5,     7.8,    30.2
Pulau Ubin,2022,1,15,     0.0,     0.0,     0.0,     0.0,    27.2,    31.7,    24.6,     7.4,    25.2
Pulau Ubin,2022,1,16,     0.0,     0.0,     0.0,     0.0,    27.5,    30.9,    25.0,     8.1,    25.2
Pulau Ubin,2022,1,17,     6.2,     6.2,     6.2,     6.2,    27.2,    30.5,    25.0,     8.1,    27.8
Pulau Ubin,2022,1,18,     0.0,     0.0,     0.0,     0.0,    27.3,    31.3,    25.1,     8.4,    30.6
Pulau Ubin,2022,1,19,     3.8,     3.2,     3.8,     3.8,    26.5,    30.4,    24.2,     6.5,    26.7
Pulau Ubin,2022,1,20,     1.0,     1.0,     1.0,     1.0,    26.6,    30.6,    24.0,     5.0,    22.6
Pulau Ubin,2022,1,21,     0.0,     0.0,     0.0,     0.0,    27.0,    31.4,    23.8,     7.5,    28.2
Pulau Ubin,2022,1,22,     0.0,     0.0,     0.0,     0.0,    27.1,    32.0,    23.8,     5.8,    24.1
Pulau Ubin,2022,1,23,     0.0,     0.0,     0.0,     0.0,    26.8,    31.8,    23.3,     4.4,    22.0
Pulau Ubin,2022,1,24,     0.0,     0.0,     0.0,     0.0,    27.0,    32.9,    23.4,     4.0,    18.7
Pulau Ubin,2022,1,25,     0.0,     0.0,     0.0,     0.0,    27.4,    32.3,    23.5,     6.9,    26.3
Pulau Ubin,2022,1,26,     0.0,     0.0,     0.0,     0.0,    27.4,    32.2,    24.0,     5.2,    23.7
Pulau Ubin,2022,1,27,     0.0,     0.0,     0.0,     0.0,    26.9,    32.0,    23.4,     5.1,    22.6
Pulau Ubin,2022,1,28,     0.0,     0.0,     0.0,     0.0,    27.2,    33.2,    22.9,     5.8,    26.3
Pulau Ubin,2022,1,29,     0.0,     0.0,     0.0,     0.0,    26.9,    32.0,    23.3,     4.7,    23.3
Pulau Ubin,2022,1,30,     0.0,     0.0,     0.0,     0.0,    26.9,    32.7,    23.1,     4.7,    27.4
Pulau Ubin,2022,1,31,     0.0,     0.0,     0.0,     0.0,    27.5,    32.5,    23.9,     5.7,    28.5
